name,length,f1,precision,recall,tp,fp,fn,threshold
bpRNA_CRW_15573,120,0.847059,0.800000,0.900000,36,9,4,0.7100
bpRNA_CRW_15828,111,0.888889,1.000000,0.800000,28,0,7,0.6400
bpRNA_CRW_15839,120,0.915663,0.863636,0.974359,38,6,1,0.5500
bpRNA_CRW_15843,117,0.878049,0.800000,0.972973,36,9,1,0.6100
bpRNA_CRW_15923,242,0.403101,0.292135,0.650000,26,63,14,0.3400
bpRNA_CRW_16028,112,0.682927,0.608696,0.777778,28,18,8,0.6600
bpRNA_CRW_16282,117,0.888889,0.837209,0.947368,36,7,2,0.6700
bpRNA_CRW_18116,135,0.408163,0.833333,0.270270,10,2,27,0.8900
bpRNA_CRW_19091,121,0.806452,1.000000,0.675676,25,0,12,0.7400
bpRNA_CRW_19099,122,0.600000,0.509434,0.729730,27,26,10,0.3000
bpRNA_CRW_19650,94,0.551724,0.571429,0.533333,8,6,7,0.4800
bpRNA_CRW_19758,120,0.800000,0.848485,0.756757,28,5,9,0.7400
bpRNA_CRW_19936,119,0.861111,0.861111,0.861111,31,5,5,0.6100
bpRNA_CRW_20109,124,0.764706,0.838710,0.702703,26,5,11,0.8400
bpRNA_CRW_20581,344,0.303030,0.240000,0.410959,30,95,43,0.4500
bpRNA_CRW_21396,83,0.695652,0.640000,0.761905,16,9,5,0.5600
bpRNA_CRW_25167,74,1.000000,1.000000,1.000000,22,0,0,0.5700
bpRNA_CRW_25366,77,1.000000,1.000000,1.000000,22,0,0,0.2400
bpRNA_CRW_25608,73,1.000000,1.000000,1.000000,22,0,0,0.4700
bpRNA_CRW_25624,74,1.000000,1.000000,1.000000,22,0,0,0.0900
bpRNA_CRW_25863,77,1.000000,1.000000,1.000000,22,0,0,0.4000
bpRNA_CRW_26417,93,0.492754,0.361702,0.772727,17,30,5,0.1800
bpRNA_CRW_26828,79,1.000000,1.000000,1.000000,22,0,0,0.5400
bpRNA_CRW_26859,73,1.000000,1.000000,1.000000,22,0,0,0.0900
bpRNA_CRW_26969,80,1.000000,1.000000,1.000000,22,0,0,0.7000
bpRNA_CRW_28126,74,0.976744,1.000000,0.954545,21,0,1,0.9400
bpRNA_CRW_28155,76,0.933333,0.913043,0.954545,21,2,1,0.4700
bpRNA_CRW_28185,72,1.000000,1.000000,1.000000,22,0,0,0.1500
bpRNA_CRW_28284,75,1.000000,1.000000,1.000000,22,0,0,0.1800
bpRNA_CRW_28393,72,1.000000,1.000000,1.000000,22,0,0,0.1900
bpRNA_CRW_28422,75,0.977778,0.956522,1.000000,22,1,0,0.3500
bpRNA_CRW_28533,75,1.000000,1.000000,1.000000,22,0,0,0.3000
bpRNA_CRW_28652,74,0.977778,0.956522,1.000000,22,1,0,0.6600
bpRNA_CRW_28735,75,0.977778,0.956522,1.000000,22,1,0,0.3400
bpRNA_CRW_28926,75,1.000000,1.000000,1.000000,22,0,0,0.2700
bpRNA_CRW_28984,75,1.000000,1.000000,1.000000,21,0,0,0.4200
bpRNA_CRW_29003,75,0.956522,0.916667,1.000000,22,2,0,0.2200
bpRNA_CRW_29015,72,1.000000,1.000000,1.000000,22,0,0,0.1300
bpRNA_CRW_29470,79,0.789474,0.937500,0.681818,15,1,7,0.6000
bpRNA_CRW_29631,72,0.976744,1.000000,0.954545,21,0,1,0.7500
bpRNA_CRW_29916,78,1.000000,1.000000,1.000000,22,0,0,0.4600
bpRNA_CRW_30579,81,0.761905,0.800000,0.727273,16,4,6,0.5300
bpRNA_CRW_30711,73,1.000000,1.000000,1.000000,22,0,0,0.5300
bpRNA_CRW_30722,75,1.000000,1.000000,1.000000,22,0,0,0.3000
bpRNA_CRW_30882,78,1.000000,1.000000,1.000000,22,0,0,0.4800
bpRNA_CRW_30906,72,1.000000,1.000000,1.000000,22,0,0,0.8300
bpRNA_CRW_30983,73,0.936170,0.880000,1.000000,22,3,0,0.5800
bpRNA_CRW_30987,73,0.977778,0.956522,1.000000,22,1,0,0.3000
bpRNA_CRW_31097,72,1.000000,1.000000,1.000000,22,0,0,0.6300
bpRNA_CRW_31436,71,1.000000,1.000000,1.000000,22,0,0,0.2800
bpRNA_CRW_31704,76,1.000000,1.000000,1.000000,22,0,0,0.1100
bpRNA_CRW_31722,72,0.370370,0.454545,0.312500,5,6,11,0.9400
bpRNA_CRW_32354,72,1.000000,1.000000,1.000000,22,0,0,0.4500
bpRNA_CRW_32615,71,0.871795,1.000000,0.772727,17,0,5,0.9400
bpRNA_CRW_33861,72,0.952381,1.000000,0.909091,20,0,2,0.4400
bpRNA_CRW_34713,79,0.956522,0.916667,1.000000,22,2,0,0.3200
bpRNA_CRW_35598,72,0.909091,0.833333,1.000000,20,4,0,0.4500
bpRNA_CRW_35692,77,1.000000,1.000000,1.000000,22,0,0,0.2000
bpRNA_CRW_36793,73,0.976744,1.000000,0.954545,21,0,1,0.3700
bpRNA_CRW_39480,74,1.000000,1.000000,1.000000,22,0,0,0.5000
bpRNA_CRW_40386,76,1.000000,1.000000,1.000000,22,0,0,0.2200
bpRNA_CRW_41231,79,1.000000,1.000000,1.000000,22,0,0,0.4200
bpRNA_CRW_41711,76,1.000000,1.000000,1.000000,22,0,0,0.8700
bpRNA_CRW_42243,74,1.000000,1.000000,1.000000,22,0,0,0.6600
bpRNA_CRW_42293,76,1.000000,1.000000,1.000000,22,0,0,0.5900
bpRNA_CRW_42692,76,1.000000,1.000000,1.000000,22,0,0,0.1900
bpRNA_CRW_43050,74,1.000000,1.000000,1.000000,22,0,0,0.3000
bpRNA_CRW_43191,74,1.000000,1.000000,1.000000,22,0,0,0.3000
bpRNA_CRW_43243,75,0.625000,0.555556,0.714286,15,12,6,0.0700
bpRNA_CRW_43257,73,1.000000,1.000000,1.000000,22,0,0,0.3800
bpRNA_CRW_43271,77,1.000000,1.000000,1.000000,22,0,0,0.3300
bpRNA_CRW_43385,75,0.976744,1.000000,0.954545,21,0,1,0.7500
bpRNA_CRW_43565,77,0.977778,0.956522,1.000000,22,1,0,0.3200
bpRNA_CRW_43649,77,1.000000,1.000000,1.000000,22,0,0,0.2500
bpRNA_CRW_43758,77,1.000000,1.000000,1.000000,22,0,0,0.3200
bpRNA_CRW_44001,80,1.000000,1.000000,1.000000,22,0,0,0.4600
bpRNA_CRW_52127,77,0.916667,0.846154,1.000000,22,4,0,0.4100
bpRNA_CRW_52449,72,1.000000,1.000000,1.000000,22,0,0,0.4400
bpRNA_CRW_52450,84,0.461538,0.529412,0.409091,9,8,13,0.6300
bpRNA_CRW_52953,78,1.000000,1.000000,1.000000,22,0,0,0.4600
bpRNA_CRW_53219,77,1.000000,1.000000,1.000000,22,0,0,0.8700
bpRNA_CRW_53705,75,1.000000,1.000000,1.000000,22,0,0,0.4500
bpRNA_CRW_53777,82,0.772727,0.772727,0.772727,17,5,5,0.6500
bpRNA_CRW_54070,74,1.000000,1.000000,1.000000,22,0,0,0.2900
bpRNA_CRW_54147,76,0.954545,0.954545,0.954545,21,1,1,0.4200
bpRNA_CRW_54323,77,1.000000,1.000000,1.000000,22,0,0,0.1900
bpRNA_CRW_54546,270,0.555556,0.634921,0.493827,40,23,41,0.5100
bpRNA_CRW_54562,443,0.220974,0.139810,0.526786,59,363,53,0.2700
bpRNA_CRW_54567,408,0.503876,0.500000,0.507812,65,65,63,0.4000
bpRNA_CRW_54597,328,0.087500,0.052239,0.269231,21,381,57,0.1400
bpRNA_CRW_54599,439,0.203922,0.201550,0.206349,26,103,100,0.3800
bpRNA_CRW_54605,381,0.436681,0.423729,0.450450,50,68,61,0.3300
bpRNA_CRW_54624,234,0.394737,0.352941,0.447761,30,55,37,0.5300
bpRNA_CRW_54646,373,0.388235,0.500000,0.317308,33,33,71,0.4500
bpRNA_CRW_54745,454,0.292683,0.237624,0.380952,48,154,78,0.4700
bpRNA_CRW_55427,120,0.831169,0.864865,0.800000,32,5,8,0.7600
bpRNA_CRW_55438,126,0.753247,0.852941,0.674419,29,5,14,0.8700
bpRNA_CRW_8505,124,0.765432,0.720930,0.815789,31,12,7,0.7300
bpRNA_CRW_8538,129,0.597938,0.491525,0.763158,29,30,9,0.2700
bpRNA_RFAM_10,117,0.584615,0.593750,0.575758,19,13,14,0.8400
bpRNA_RFAM_10084,85,0.666667,0.500000,1.000000,4,4,0,0.6500
bpRNA_RFAM_101,121,0.434783,0.714286,0.312500,10,4,22,0.8100
bpRNA_RFAM_10103,83,1.000000,1.000000,1.000000,4,0,0,0.9000
bpRNA_RFAM_10243,469,0.161209,0.115942,0.264463,32,244,89,0.3800
bpRNA_RFAM_10263,86,0.923077,0.857143,1.000000,6,1,0,0.8200
bpRNA_RFAM_10305,93,0.482759,0.875000,0.333333,7,1,14,0.5500
bpRNA_RFAM_10379,86,0.606061,0.769231,0.500000,10,3,10,0.6400
bpRNA_RFAM_10396,370,0.014337,0.008811,0.038462,2,225,50,0.2500
bpRNA_RFAM_10425,154,0.279070,0.352941,0.230769,6,11,20,0.5600
bpRNA_RFAM_1049,194,0.489796,0.452830,0.533333,24,29,21,0.6300
bpRNA_RFAM_10508,252,0.233766,0.189474,0.305085,18,77,41,0.3200
bpRNA_RFAM_10509,247,0.290598,0.293103,0.288136,17,41,42,0.5200
bpRNA_RFAM_10555,214,0.454545,0.476190,0.434783,20,22,26,0.5100
bpRNA_RFAM_10556,167,0.435897,0.395349,0.485714,17,26,18,0.6300
bpRNA_RFAM_10560,259,0.400000,0.447368,0.361702,17,21,30,0.5400
bpRNA_RFAM_10571,252,0.213333,0.155340,0.340426,16,87,31,0.3700
